clip,time,rootX,rootY,rootZ,rootYaw,headX,headY,headZ,hipsX,hipsY,hipsZ,meshMinY
LS_Zombie_Death,0.06666667,0,0,0,0,-0.03979379,1.599423,0.132438,-0.02550564,1.077038,-0.118938,0.01903179
LS_Zombie_Death,0.07777778,0,0,0,0,-0.04896619,1.65157,0.06335169,-0.0258829,1.111923,-0.1433436,0.05304654
LS_Zombie_Death,0.08888889,0,0,0,0,-0.05770256,1.700161,-0.006583688,-0.02642715,1.147474,-0.1669543,0.07982561
LS_Zombie_Death,0.1,0,0,0,0,-0.06597033,1.742163,-0.07682624,-0.02719479,1.180861,-0.1898982,0.1100106
LS_Zombie_Death,0.1111111,0,0,0,0,-0.06770208,1.784856,-0.170994,-0.02711699,1.211119,-0.2139622,0.1434545
LS_Zombie_Death,0.1222222,0,0,0,0,-0.0685094,1.816974,-0.2666873,-0.02721319,1.240019,-0.237985,0.1787176
LS_Zombie_Death,0.1333333,0,0,0,0,-0.06840061,1.836334,-0.3622066,-0.02750104,1.265517,-0.2620221,0.2135216
LS_Zombie_Death,0.1444445,0,0,0,0,-0.06345136,1.842613,-0.4915091,-0.02765225,1.287492,-0.2843165,0.2594977
LS_Zombie_Death,0.1555556,0,0,0,0,-0.05685517,1.823916,-0.6186439,-0.02782971,1.308109,-0.3078986,0.3071855
LS_Zombie_Death,0.1666667,0,0,0,0,-0.04904404,1.779368,-0.7382648,-0.02798418,1.32505,-0.333786,0.3536323
LS_Zombie_Death,0.1777778,0,0,0,0,-0.04253372,1.692855,-0.8474944,-0.02826064,1.336715,-0.3535451,0.4075646
LS_Zombie_Death,0.1888889,0,0,0,0,-0.03653767,1.58191,-0.9344833,-0.02884289,1.344312,-0.3780621,0.4609905
LS_Zombie_Death,0.2,0,0,0,0,-0.03135555,1.461078,-0.9950141,-0.02944492,1.353386,-0.4081745,0.5185276
LS_Zombie_Death,0.2111111,0,0,0,0,-0.03124778,1.365868,-1.017878,-0.02980596,1.352814,-0.4282678,0.5784351
LS_Zombie_Death,0.2222222,0,0,0,0,-0.03129959,1.270038,-1.027249,-0.03023731,1.350339,-0.4509205,0.6223499
LS_Zombie_Death,0.2333333,0,0,0,0,-0.03146018,1.179313,-1.02349,-0.03070128,1.348148,-0.4758173,0.6599547
LS_Zombie_Death,0.2444444,0,0,0,0,-0.0318993,1.113325,-1.022762,-0.03062036,1.338668,-0.4957849,0.7282755
LS_Zombie_Death,0.2555556,0,0,0,0,-0.03212848,1.050467,-1.015758,-0.03047833,1.329979,-0.5154574,0.7998737
LS_Zombie_Death,0.2666667,0,0,0,0,-0.03215002,0.9891535,-1.00282,-0.03027903,1.319524,-0.5346998,0.7869148
LS_Zombie_Death,0.2777778,0,0,0,0,-0.03240154,0.9382272,-1.006293,-0.0298337,1.304211,-0.556968,0.7358568
LS_Zombie_Death,0.2888889,0,0,0,0,-0.03231836,0.8875136,-1.004763,-0.0291773,1.287838,-0.5776318,0.6856988
LS_Zombie_Death,0.3,0,0,0,0,-0.03197914,0.8342768,-0.9985455,-0.02839356,1.267122,-0.5967343,0.6332406
LS_Zombie_Death,0.3111111,0,0,0,0,-0.03041844,0.7880939,-1.009032,-0.02683768,1.240519,-0.621401,0.5878301
LS_Zombie_Death,0.3222222,0,0,0,0,-0.02974361,0.7386929,-1.016323,-0.02624079,1.209658,-0.6445346,0.5402358
LS_Zombie_Death,0.3333333,0,0,0,0,-0.02930005,0.6856641,-1.021124,-0.02594947,1.17391,-0.6666757,0.4899956
LS_Zombie_Death,0.3444445,0,0,0,0,-0.02865949,0.6331843,-1.029681,-0.02619353,1.131976,-0.689273,0.4380494
LS_Zombie_Death,0.3555556,0,0,0,0,-0.02811641,0.5762376,-1.036949,-0.02655535,1.08508,-0.7109967,0.3818817
LS_Zombie_Death,0.3666667,0,0,0,0,-0.02768106,0.5157194,-1.042993,-0.0270449,1.034089,-0.7318768,0.3217447
LS_Zombie_Death,0.3777778,0,0,0,0,-0.0277023,0.4547768,-1.046901,-0.02817972,0.9784159,-0.7516743,0.2587646
LS_Zombie_Death,0.3888889,0,0,0,0,-0.02749526,0.3911282,-1.049584,-0.02911123,0.919112,-0.7706808,0.1913683
LS_Zombie_Death,0.4,0,0,0,0,-0.02704502,0.327298,-1.051196,-0.02981269,0.858689,-0.7890061,0.1267611
LS_Zombie_Death,0.4111111,0,0,0,0,-0.02714132,0.2731027,-1.080946,-0.02990081,0.7931969,-0.8083166,0.07821035
LS_Zombie_Death,0.4222222,0,0,0,0,-0.02712436,0.219149,-1.108535,-0.02987558,0.7271274,-0.8269342,0.0392611
LS_Zombie_Death,0.4333333,0,0,0,0,-0.02699762,0.1702403,-1.134079,-0.0297376,0.6654609,-0.8450528,0.005000114
LS_Zombie_Death,0.4444444,0,0,0,0,-0.02778149,0.1576123,-1.209609,-0.02924226,0.6142846,-0.8641201,0.003627896
LS_Zombie_Death,0.4555556,0,0,0,0,-0.02836401,0.1419833,-1.278388,-0.02885548,0.5519848,-0.8834239,0.004284859
LS_Zombie_Death,0.4666667,0,0,0,0,-0.028717,0.1267926,-1.3361,-0.0285427,0.4833578,-0.8998589,0.005000114
LS_Zombie_Death,0.4777778,0,0,0,0,-0.02773197,0.1134009,-1.387895,-0.02801935,0.4096898,-0.9158344,0.009618998
LS_Zombie_Death,0.4888889,0,0,0,0,-0.02670735,0.13018,-1.432981,-0.02748862,0.3620693,-0.9343557,-0.002995372
LS_Zombie_Death,0.5,0,0,0,0,-0.02540603,0.1683681,-1.471508,-0.02670545,0.3333976,-0.9560738,0.004999995
LS_Zombie_Death,0.5111111,0,0,0,0,-0.02616475,0.2012142,-1.495807,-0.02680249,0.2594602,-0.9661995,-0.005737305
LS_Zombie_Death,0.5222222,0,0,0,0,-0.02672562,0.2546176,-1.501681,-0.02697183,0.2060392,-0.9825178,-0.004510045
LS_Zombie_Death,0.5333334,0,0,0,0,-0.02717359,0.320339,-1.490112,-0.0272816,0.1718627,-1.004617,0.004999876
LS_Zombie_Death,0.5444444,0,0,0,0,-0.02682888,0.3161968,-1.495958,-0.02703492,0.1534429,-0.9999261,-0.0001991987
LS_Zombie_Death,0.5555556,0,0,0,0,-0.02667323,0.3383658,-1.500273,-0.02696634,0.1602287,-0.9952821,0.02142203
LS_Zombie_Death,0.5666667,0,0,0,0,-0.02673458,0.3624666,-1.502892,-0.02707569,0.1680623,-0.9907451,0.04527497
LS_Zombie_Death,0.5777778,0,0,0,0,-0.02711922,0.3730744,-1.509135,-0.02711803,0.1739133,-0.9905509,0.05800843
LS_Zombie_Death,0.5888889,0,0,0,0,-0.02757961,0.3829519,-1.514752,-0.02722263,0.17889,-0.990344,0.06600052
LS_Zombie_Death,0.6,0,0,0,0,-0.02812161,0.390746,-1.519713,-0.02738958,0.1816738,-0.9901238,0.0652343
LS_Zombie_Death,0.6111111,0,0,0,0,-0.02862668,0.3905436,-1.528059,-0.02775455,0.1847277,-0.991307,0.06611508
LS_Zombie_Death,0.6222222,0,0,0,0,-0.02908595,0.3881649,-1.53598,-0.02806962,0.1857139,-0.9925464,0.06530029
LS_Zombie_Death,0.6333333,0,0,0,0,-0.02949992,0.3841667,-1.543453,-0.02833295,0.1851895,-0.9938331,0.06335121
LS_Zombie_Death,0.6444445,0,0,0,0,-0.02973562,0.3717765,-1.553864,-0.02837021,0.184133,-0.9962634,0.06150705
LS_Zombie_Death,0.6555555,0,0,0,0,-0.03008064,0.3576774,-1.563833,-0.02852098,0.1816579,-0.9988077,0.05822295
LS_Zombie_Death,0.6666667,0,0,0,0,-0.03053715,0.3424882,-1.573321,-0.02878677,0.1783607,-1.001444,0.05421692
LS_Zombie_Death,0.6777778,0,0,0,0,-0.03101329,0.3204229,-1.584026,-0.02889292,0.1736304,-1.004808,0.04926586
LS_Zombie_Death,0.6888889,0,0,0,0,-0.0315508,0.2976351,-1.594156,-0.02906966,0.1685163,-1.008361,0.04394335
LS_Zombie_Death,0.7,0,0,0,0,-0.0321405,0.274713,-1.603642,-0.02930797,0.1635679,-1.012049,0.03879863
LS_Zombie_Death,0.7111111,0,0,0,0,-0.03218915,0.2533411,-1.610896,-0.02948883,0.1578321,-1.015964,0.03055334
LS_Zombie_Death,0.7222223,0,0,0,0,-0.03228733,0.2332283,-1.617518,-0.02972594,0.1534534,-1.019759,0.01986206
LS_Zombie_Death,0.7333333,0,0,0,0,-0.03239313,0.2152002,-1.623257,-0.02997742,0.1512379,-1.023187,0.01110148
LS_Zombie_Death,0.7444445,0,0,0,0,-0.0313256,0.2049341,-1.623211,-0.02995972,0.1523005,-1.023517,0.004954696
LS_Zombie_Death,0.7555556,0,0,0,0,-0.03013181,0.200946,-1.622176,-0.02982528,0.1596441,-1.023252,0.005254149
LS_Zombie_Death,0.7666667,0,0,0,0,-0.02879895,0.1962425,-1.619996,-0.02955872,0.1662614,-1.022236,0.004999995
LS_Zombie_Death,0.7777778,0,0,0,0,-0.02730124,0.1922322,-1.618843,-0.02934386,0.1735477,-1.023172,0.005140781
LS_Zombie_Death,0.7888889,0,0,0,0,-0.02570769,0.1874946,-1.615817,-0.0290323,0.1800793,-1.022698,0.004728198
LS_Zombie_Death,0.8,0,0,0,0,-0.02412665,0.1834218,-1.611129,-0.02872736,0.1872306,-1.021023,0.005000114
LS_Zombie_Death,0.8111112,0,0,0,0,-0.0237369,0.2088833,-1.610861,-0.02830469,0.2126897,-1.020755,0.004594207
LS_Zombie_Death,0.8222222,0,0,0,0,-0.02323984,0.2928821,-1.609593,-0.02777474,0.2966862,-1.019488,0.00487411
LS_Zombie_Death,0.8333334,0,0,0,0,-0.02263571,0.3749133,-1.60729,-0.02713767,0.378715,-1.017186,0.005000114
LS_Zombie_Death,0.8444445,0,0,0,0,-0.02253642,0.3609208,-1.60822,-0.02703838,0.3647224,-1.018117,0.00440228
LS_Zombie_Death,0.8555556,0,0,0,0,-0.02214452,0.3463131,-1.606132,-0.02664648,0.3501147,-1.016029,0.003651738
