time,rightX,rightY,rightZ,leftX,leftY,leftZ,rootX,rootY,rootZ
1.116667,0.199205,1.018676,0.560296,-0.452188,1.156885,0.393925,0,0,0
1.133333,0.207598,1.022421,0.556133,-0.431887,1.168233,0.428102,0,0,0
1.150000,0.214379,1.025300,0.551619,-0.411842,1.173030,0.459193,0,0,0
1.166667,0.221038,1.027950,0.546877,-0.388046,1.180508,0.488684,0,0,0
1.183333,0.225959,1.029734,0.542191,-0.366308,1.184665,0.515434,0,0,0
1.200000,0.230783,1.031368,0.537438,-0.341557,1.190898,0.540343,0,0,0
1.216667,0.233980,1.032361,0.533306,-0.321101,1.194575,0.561766,0,0,0
1.233333,0.237110,1.033266,0.529175,-0.298579,1.199644,0.581359,0,0,0
1.250000,0.238910,1.033718,0.526019,-0.282187,1.202889,0.596799,0,0,0
1.266667,0.240677,1.034125,0.522886,-0.264691,1.206830,0.610805,0,0,0
1.283333,0.241495,1.034262,0.520951,-0.254279,1.209243,0.619966,0,0,0
1.300000,0.242303,1.034384,0.519031,-0.243468,1.211856,0.628394,0,0,0
1.316667,0.242506,1.034397,0.518391,-0.239946,1.212777,0.631351,0,0,0
1.333333,0.242709,1.034408,0.517754,-0.236382,1.213714,0.634208,0,0,0
