clip,time,rootX,rootY,rootZ,rootYaw,hipsY,headY,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ,leftHandZ,rightHandZ,meshMinY,meshMaxY
Zombie@Death01_A,0.2555556,0,0,0,0,1.329855,1.050343,-0.2081594,0.98193,0.1853388,0.169329,0.9331694,0.1565726,-0.4735364,-0.5477504,0.7997497,1.674369
Zombie@Death01_A,0.2666667,0,0,0,0,1.319524,0.9891535,-0.2081837,1.039816,0.1733091,0.1666051,0.9897013,0.1676171,-0.5124822,-0.5846373,0.7869148,1.674742
Zombie@Death01_A,0.2777778,0,0,0,0,1.302015,0.9360313,-0.2044231,1.124057,0.1689492,0.1592485,1.040066,0.1802148,-0.5500228,-0.6073175,0.733661,1.645362
Zombie@Death01_A,0.2888889,0,0,0,0,1.284446,0.8841211,-0.2011801,1.207829,0.1512729,0.1513192,1.093981,0.1871822,-0.5870885,-0.6443495,0.6823063,1.622522
Zombie@Death01_A,0.3,0,0,0,0,1.267122,0.8342768,-0.1985487,1.288999,0.1207241,0.1427492,1.15062,0.1880552,-0.6226221,-0.6956453,0.6332406,1.606345
Zombie@Death01_A,0.3111111,0,0,0,0,1.235736,0.7833116,-0.1905444,1.360208,0.1052125,0.1359661,1.191842,0.1880272,-0.6598777,-0.7188546,0.5830479,1.61976
Zombie@Death01_A,0.3222222,0,0,0,0,1.204682,0.7337171,-0.1834533,1.434251,0.07545484,0.1271469,1.236769,0.1809215,-0.6942869,-0.7588554,0.53526,1.628435
Zombie@Death01_A,0.3333333,0,0,0,0,1.17391,0.6856641,-0.1767329,1.508466,0.03048737,0.1169492,1.284135,0.1657724,-0.7262005,-0.791216,0.4899956,1.631732
Zombie@Death01_A,0.3444445,0,0,0,0,1.127056,0.6282641,-0.1753649,1.538431,0.004597433,0.1215708,1.311866,0.1368874,-0.7622571,-0.8215264,0.4331292,1.601771
Zombie@Death01_A,0.3555556,0,0,0,0,1.080409,0.5715665,-0.1714403,1.568862,-0.03200494,0.1256987,1.339579,0.1018522,-0.7987086,-0.8495775,0.3772106,1.646814
Zombie@Death01_A,0.3666667,0,0,0,0,1.034089,0.5157194,-0.1647075,1.597941,-0.07932597,0.1292903,1.36668,0.06064599,-0.8349287,-0.8752803,0.3217447,1.697113
Zombie@Death01_A,0.3777778,0,0,0,0,0.9748012,0.451162,-0.1682322,1.588493,-0.1213071,0.1452817,1.381473,0.003870302,-0.8740373,-0.9079694,0.2551498,1.707811
Zombie@Death01_A,0.3888889,0,0,0,0,0.9163045,0.3883207,-0.1710942,1.577295,-0.1680817,0.1604909,1.392456,-0.05992872,-0.9123901,-0.9376413,0.1885608,1.715652
Zombie@Death01_A,0.4,0,0,0,0,0.858689,0.327298,-0.1731883,1.563775,-0.2194001,0.1748419,1.398882,-0.1302468,-0.9500176,-0.9643776,0.1267611,1.719868
